Satellite ID,Satellite Type,Orbit Type,date time,Frequency Bands,Ground Station ID,Location (Latitude),Location (Longitude)),data,qubit,basis,measurement_result,Communication Protocols,Security Protocols,error_rate,timestamp
58232-5511,astronomical,geostationary transfer orbit (GTO),6/20/2020,Ka-band,54868-2093,40.417358,117.500558,94,0,Z,0,CCSDS,QKD,0.9,10/22/2022
36987-1819,navigation,medium Earth orbit (MEO),4/10/2020,Ku-band,56062-141,-8.759734,121.8306397,98,0,Z,1,CCSDS,QKD,0.13,9/28/2022
35356-817,Earth observation,Sun-synchronous orbit (SSO),11/18/2022,VHF,68016-440,60.3749535,19.8471958,73,0,Z,1,AES,QKD,0.75,7/23/2022
35356-673,communication,geostationary orbit (GEO),3/24/2022,Ka-band,50436-7000,9.9817261,122.5356326,14,0,X,1,CCSDS,QKD,0.13,7/3/2022
51672-4083,communication,Low Earth orbit (LEO),9/11/2021,Ku-band,0143-2128,51.1529103,17.2602307,76,1,Z,1,SLE,IPsec,0.88,8/19/2022
59886-410,navigation,Sun-synchronous orbit (SSO),10/8/2021,Ka-band,50458-335,18.052469,30.94981,35,0,Z,0,SLE,IPsec,0.66,6/28/2022
55111-118,astronomical,geostationary transfer orbit (GTO),9/29/2020,VHF,48951-2017,56.036667,39.9203466,22,0,X,0,DVB-S2,IPsec,0.8,12/6/2022
10191-1425,communication,Low Earth orbit (LEO),7/7/2020,Ka-band,61957-1112,30.453667,114.872199,53,1,X,0,TCP/IP,IPsec,0.19,10/25/2022
48951-8036,communication,geostationary orbit (GEO),2/13/2021,Ka-band,14783-314,41.375722,121.781518,27,1,X,0,SLE,QKD,0.64,8/26/2022
52685-375,astronomical,medium Earth orbit (MEO),6/28/2022,Ku-band,0944-4302,52.7251027,17.6532993,9,1,Z,1,TCP/IP,IPsec,0.94,9/7/2022
62011-0029,communication,Low Earth orbit (LEO),1/8/2021,Ku-band,49288-0128,14.0312016,-84.592955,20,0,Z,1,AES,IPsec,0.59,7/19/2022
52682-206,Earth observation,geostationary orbit (GEO),4/19/2021,UHF,43128-118,49.3696768,22.4212003,26,0,X,1,AES,IPsec,0.16,7/15/2022
63323-010,Earth observation,Sun-synchronous orbit (SSO),2/3/2021,Ku-band,62750-045,-8.7817434,117.1147095,30,0,Z,1,AES,QKD,0.24,9/14/2022
13537-019,Earth observation,Low Earth orbit (LEO),8/21/2022,VHF,61919-023,2.5045603,73.3082308,80,0,Z,1,TCP/IP,QKD,0.48,12/26/2022
